Country,Year,ConsumerIndustry,AI-Generated Content Volume (TBs per year),Job Loss Due to AI (%),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%),Top AI Tools Used,Regulation Status,Consumer Trust in AI (%),Market Share of AI Companies (%),ImpactScore
USA,2021,Education,98.77,38.22,67.17,87.65,Synthesia,Lenient,31.54,31.14,73
India,2020,Automotive,5.21,41.36,53.59,23.62,DALL-E,Moderate,37.89,34.26,64
Australia,2020,Finance,47.75,27.81,55.74,74.99,Synthesia,Moderate,68.67,9.18,70
India,2020,Education,19.97,33.75,15.07,64.12,Stable Diffusion,Moderate,48.13,40.32,70
China,2023,Healthcare,60.93,32.2,14.67,61.33,Claude,Moderate,83.72,32.54,81
UK,2024,Automotive,71.06,44.65,28.93,39.83,DALL-E,Lenient,33.51,49.28,83
India,2020,Retail,27.55,48.33,31.86,75.36,Bard,Moderate,73.23,9.67,94
UK,2020,Automotive,26.18,31.41,57.91,63.9,Midjourney,Lenient,83.66,6.21,63
France,2021,Gaming,64.1,38.29,27.12,24.78,Stable Diffusion,Moderate,75.6,32.81,55
Canada,2020,Education,56.38,29.34,28.55,39.5,Claude,Strict,30.81,3.26,61
Japan,2023,Marketing,51.37,40.3,3.84,72.92,Claude,Moderate,76.92,27.59,73
Canada,2020,Healthcare,36.33,22.77,24.34,40.04,ChatGPT,Lenient,45.16,15.34,68
France,2020,Media,41.06,29.26,51.9,49.04,ChatGPT,Moderate,50.12,46.08,55
Japan,2024,Marketing,14.83,2.86,26.45,47.53,DALL-E,Moderate,59.28,20.74,88
India,2024,Healthcare,61.0,41.04,77.48,28.32,Midjourney,Moderate,70.17,30.75,60
UK,2020,Finance,20.18,17.85,10.99,85.27,Claude,Moderate,32.96,32.23,88
USA,2021,Education,40.86,28.82,74.04,70.58,Stable Diffusion,Strict,60.03,12.22,88
Canada,2020,Gaming,16.05,46.78,62.71,68.18,Synthesia,Strict,60.09,31.02,51
India,2024,Media,5.84,36.8,60.81,42.56,Stable Diffusion,Strict,43.6,14.06,52
France,2024,Healthcare,51.28,23.6,23.16,84.93,ChatGPT,Strict,85.01,24.33,77
India,2020,Automotive,36.49,29.72,76.74,69.01,ChatGPT,Moderate,48.27,44.8,80
Canada,2025,Marketing,84.82,26.41,4.72,33.28,Synthesia,Moderate,64.49,45.04,78
South Korea,2025,Gaming,35.53,28.46,7.11,63.48,ChatGPT,Moderate,31.33,11.61,82
Germany,2021,Automotive,52.98,48.47,12.14,30.6,DALL-E,Lenient,77.21,44.35,89
Germany,2020,Media,28.26,27.62,57.86,58.71,DALL-E,Strict,78.74,31.73,70
France,2023,Marketing,49.83,39.94,79.44,43.73,Synthesia,Lenient,81.58,14.62,66
